userName,review,score,thumbsUpCount,at,clean_review,content_normalized,content_tokenizing,content_filtering,content_stemming
Jumadi Ajjah,hati-hati belanja di platform ini tidak bisa melindungi customer dari penipuan seller,1,1,2025-05-31 23:01:52,hati-hati belanja di platform ini tidak bisa melindungi customer dari penipuan seller,hati-hati belanja di platform ini tidak bisa melindungi customer dari penipuan seller,"['hati-hati', 'belanja', 'di', 'platform', 'ini', 'tidak', 'bisa', 'melindungi', 'customer', 'dari', 'penipuan', 'seller']",hati-hati belanja platform melindungi customer penipuan seller,hati belanja platform lindung customer tipu seller
Ekfari Ant,"kenapa mitra di gabungkan dengan aplikasi utama, sedangkan fitur mitra apakah ada di aplikasi toped, seperti print bluetooth, edit harga. tolong jadi perhatian.",3,1,2025-05-31 22:50:54,kenapa mitra di gabungkan dengan aplikasi utama sedangkan fitur mitra apakah ada di aplikasi toped seperti print bluetooth edit harga tolong jadi perhatian,kenapa mitra di gabungkan dengan aplikasi utama sedangkan fitur mitra apakah ada di aplikasi toped seperti print bluetooth edit harga tolong jadi perhatian,"['kenapa', 'mitra', 'di', 'gabungkan', 'dengan', 'aplikasi', 'utama', 'sedangkan', 'fitur', 'mitra', 'apakah', 'ada', 'di', 'aplikasi', 'toped', 'seperti', 'print', 'bluetooth', 'edit', 'harga', 'tolong', 'jadi', 'perhatian']",mitra gabungkan aplikasi utama fitur mitra aplikasi toped print bluetooth edit harga tolong perhatian,mitra gabung aplikasi utama fitur mitra aplikasi toped print bluetooth edit harga tolong perhati
Andi Triono (AT),"Semakin jelek pelayanan Penyelesaian masalah sangat lama, dah berulang kali tetep aja",1,3,2025-05-31 19:52:46,semakin jelek pelayanan penyelesaian masalah sangat lama dah berulang kali tetep aja,semakin jelek pelayanan penyelesaian masalah sangat lama sudah berulang kali tetep saja,"['semakin', 'jelek', 'pelayanan', 'penyelesaian', 'masalah', 'sangat', 'lama', 'sudah', 'berulang', 'kali', 'tetep', 'saja']",jelek pelayanan penyelesaian berulang kali tetep,jelek layan selesai ulang kali tetep
ACUS MOTOVLOG,"Aplikasi Belanja Online Terbaik! Saya sudah menggunakan Tokopedia selama beberapa tahun dan selalu puas dengan pelayanannya. Aplikasinya mudah digunakan, tampilannya menarik, dan sangat lengkap. Mulai dari kebutuhan rumah tangga, elektronik, hingga pulsa dan tagihan semua bisa dibayar di sini. Pengiriman cepat dan customer service-nya juga sangat responsif. Sangat membantu banget, terutama saat butuh belanja cepat tanpa harus keluar rumah. Terima kasih",5,69,2025-05-31 16:26:36,aplikasi belanja online teaik saya sudah menggunakan tokopedia selama beberapa  dan selalu puas dengan pelayanannya aplikasinya mudah digunakan tampilannya menarik dan sangat lengkap mulai dari kebutuhan rumah tangga elektronik hingga pulsa dan tagihan semua bisa dibayar di sini pengiriman cepat dan customer service-nya juga sangat responsif sangat membantu banget terutama saat butuh belanja cepat tanpa harus keluar rumah terima kasih,aplikasi belanja online teaik saya sudah menggunakan tokopedia selama beberapa dan selalu puas dengan pelayanannya aplikasinya mudah digunakan tampilannya menarik dan sangat lengkap mulai dari kebutuhan rumah tangga elektronik hingga pulsa dan tagihan semua bisa dibayar di sini pengiriman cepat dan customer service-nya juga sangat responsif sangat membantu banget terutama saat butuh belanja cepat tanpa harus keluar rumah terima kasih,"['aplikasi', 'belanja', 'online', 'teaik', 'saya', 'sudah', 'menggunakan', 'tokopedia', 'selama', 'beberapa', 'dan', 'selalu', 'puas', 'dengan', 'pelayanannya', 'aplikasinya', 'mudah', 'digunakan', 'tampilannya', 'menarik', 'dan', 'sangat', 'lengkap', 'mulai', 'dari', 'kebutuhan', 'rumah', 'tangga', 'elektronik', 'hingga', 'pulsa', 'dan', 'tagihan', 'semua', 'bisa', 'dibayar', 'di', 'sini', 'pengiriman', 'cepat', 'dan', 'customer', 'service-nya', 'juga', 'sangat', 'responsif', 'sangat', 'membantu', 'banget', 'terutama', 'saat', 'butuh', 'belanja', 'cepat', 'tanpa', 'harus', 'keluar', 'rumah', 'terima', 'kasih']",aplikasi belanja online teaik tokopedia puas pelayanannya aplikasinya mudah tampilannya menarik lengkap kebutuhan rumah tangga elektronik pulsa tagihan dibayar pengiriman cepat customer service-nya responsif membantu banget butuh belanja cepat rumah terima kasih,aplikasi belanja online teaik tokopedia puas layan aplikasi mudah tampil tarik lengkap butuh rumah tangga elektronik pulsa tagih bayar kirim cepat customer service-nya responsif bantu banget butuh belanja cepat rumah terima kasih
Andromeda Tesalonika,"tulisan nya pengembalian dana udh selesai pas di liat dana nya blm masuk,hst customer service ga di bales 😮‍💨",1,1,2025-05-31 14:14:43,tulisan nya pengembalian dana udh selesai pas di liat dana nya blm masukhst customer service ga di bales ‍,tulisan nya pengembalian dana udh selesai pas di liat dana nya belum masukhst customer service tidak di bales ‍,"['tulisan', 'nya', 'pengembalian', 'dana', 'udh', 'selesai', 'pas', 'di', 'liat', 'dana', 'nya', 'belum', 'masukhst', 'customer', 'service', 'tidak', 'di', 'bales', '\u200d']",tulisan nya pengembalian dana udh selesai pas liat dana nya masukhst customer service bales ‍,tulis nya kembali dana udh selesai pas liat dana nya masukhst customer service bales
Kevin Sas Hanggara,"Update terbarunya semakin banyak error, gagal melakukan pembayaran, pembatalan transaksi, dan semakin lambat.",5,1,2025-05-31 13:28:47,update tearunya semakin banyak error gagal melakukan pembayaran pembatalan transaksi dan semakin lambat,update tearunya semakin banyak error gagal melakukan pembayaran pembatalan transaksi dan semakin lambat,"['update', 'tearunya', 'semakin', 'banyak', 'error', 'gagal', 'melakukan', 'pembayaran', 'pembatalan', 'transaksi', 'dan', 'semakin', 'lambat']",update tearunya error gagal pembayaran pembatalan transaksi lambat,update tearunya error gagal bayar batal transaksi lambat
Hadi Prastowo,"keren Top memang belanja di Tokopedia kita bayar cash di gerai indomart,alfamart dan kalau stok barangnya habis,uang kita tidak hilang,tapi masuk disimpan di saldo kita 👍👍👍... wah luarbiasa Tokopedia,makasih Tokopedia ya dan... sukses selalu...👌👌👌",5,2,2025-05-31 11:54:43,keren top memang belanja di tokopedia kita bayar cash di gerai indomartalfamart dan kalau stok barangnya habisuang kita tidak hilangtapi masuk disimpan di saldo kita  wah luaiasa tokopediamakasih tokopedia ya dan sukses selalu,keren top memang belanja di tokopedia kita bayar cash di gerai indomartalfamart dan kalau stok barangnya habisuang kita tidak hilangtapi masuk disimpan di saldo kita wah luaiasa tokopediamakasih tokopedia ya dan sukses selalu,"['keren', 'top', 'memang', 'belanja', 'di', 'tokopedia', 'kita', 'bayar', 'cash', 'di', 'gerai', 'indomartalfamart', 'dan', 'kalau', 'stok', 'barangnya', 'habisuang', 'kita', 'tidak', 'hilangtapi', 'masuk', 'disimpan', 'di', 'saldo', 'kita', 'wah', 'luaiasa', 'tokopediamakasih', 'tokopedia', 'ya', 'dan', 'sukses', 'selalu']",keren top belanja tokopedia bayar cash gerai indomartalfamart stok barangnya habisuang hilangtapi masuk disimpan saldo luaiasa tokopediamakasih tokopedia ya sukses,keren top belanja tokopedia bayar cash gerai indomartalfamart stok barang habisuang hilangtapi masuk simpan saldo luaiasa tokopediamakasih tokopedia ya sukses
Tri Hadi Kurniawan,"Berharap ongkir Rp. 0,- tanpa minimal belanja dan bisa request kurir tanpa rekomendasi² an, Belanjanya tidak bisa digabung dengan gopay coin jika kartu debitnya bukan visa, Pelayanan agar sedikit dipercepat proses komplain dan pengembalian dananya jika mengalami masalah, Fitur Diskusi agar diaktifkan kembali agar bisa jadi pertimbangan saat pembelian supaya mencegah penipuan, Terlalu banyak bug dan update.",2,65,2025-05-31 10:26:51,berharap ongkir rp - tanpa minimal belanja dan bisa request kurir tanpa rekomendasi² an belanjanya tidak bisa digabung dengan gopay coin jika kartu debitnya bukan visa pelayanan agar sedikit dipercepat proses komplain dan pengembalian dananya jika mengalami masalah fitur diskusi agar diaktifkan kembali agar bisa jadi pertimbangan saat pembelian supaya mencegah penipuan terlalu banyak bug dan update,berharap ongkir rp - tanpa minimal belanja dan bisa request kurir tanpa rekomendasi² an belanjanya tidak bisa digabung dengan gopay coin jika kartu debitnya bukan visa pelayanan agar sedikit dipercepat proses komplain dan pengembalian dananya jika mengalami masalah fitur diskusi agar diaktifkan kembali agar bisa jadi pertimbangan saat pembelian supaya mencegah penipuan terlalu banyak bug dan update,"['berharap', 'ongkir', 'rp', '-', 'tanpa', 'minimal', 'belanja', 'dan', 'bisa', 'request', 'kurir', 'tanpa', 'rekomendasi²', 'an', 'belanjanya', 'tidak', 'bisa', 'digabung', 'dengan', 'gopay', 'coin', 'jika', 'kartu', 'debitnya', 'bukan', 'visa', 'pelayanan', 'agar', 'sedikit', 'dipercepat', 'proses', 'komplain', 'dan', 'pengembalian', 'dananya', 'jika', 'mengalami', 'masalah', 'fitur', 'diskusi', 'agar', 'diaktifkan', 'kembali', 'agar', 'bisa', 'jadi', 'pertimbangan', 'saat', 'pembelian', 'supaya', 'mencegah', 'penipuan', 'terlalu', 'banyak', 'bug', 'dan', 'update']",berharap ongkir rp - minimal belanja request kurir rekomendasi² an belanjanya digabung gopay coin kartu debitnya visa pelayanan dipercepat proses komplain pengembalian dananya mengalami fitur diskusi diaktifkan pertimbangan pembelian mencegah penipuan bug update,harap ongkir rp - minimal belanja request kurir rekomendasi an belanja gabung gopay coin kartu debit visa layan cepat proses komplain kembali dana alami fitur diskusi aktif timbang beli cegah tipu bug update
Wawan Deddy Setiawan,"pesanan kurir instant ,ini hari ke 3. ini dia: Hai Kak, pesanan Kakak saat ini masih menunggu update status dari pihak penjual, bisa tunggu dan cek berkala statusnya. Apabila kakak sudah melakukan pengajuan pembatalan, bisa hubungi penjual melalui fitur chat untuk merespon pengajuan pembatalannya. Tokopedia hanya bisa membantu pembatalan transaksi setelah ada kesepakatan penjual dan pembeli. Apabila penjual melebihi batas konfirmasi pengirimannya maka transaksi akan terbatalkan otomatis.",1,14,2025-05-31 10:20:02,pesanan kurir instant ini  ke  ini dia hai kak pesanan kakak saat ini masih menunggu update status dari pihak penjual bisa tunggu dan cek berkala statusnya apabila kakak sudah melakukan pengajuan pembatalan bisa hubungi penjual melalui fitur chat untuk merespon pengajuan pembatalannya tokopedia hanya bisa membantu pembatalan transaksi setelah ada kesepakatan penjual dan pembeli apabila penjual melebihi batas konfirmasi pengirimannya maka transaksi akan teatalkan otomatis,pesanan kurir instant ini ke ini dia hai kak pesanan kakak saat ini masih menunggu update status dari pihak penjual bisa tunggu dan cek berkala statusnya apabila kakak sudah melakukan pengajuan pembatalan bisa hubungi penjual melalui fitur chat untuk merespon pengajuan pembatalannya tokopedia hanya bisa membantu pembatalan transaksi setelah ada kesepakatan penjual dan pembeli apabila penjual melebihi batas konfirmasi pengirimannya maka transaksi akan teatalkan otomatis,"['pesanan', 'kurir', 'instant', 'ini', 'ke', 'ini', 'dia', 'hai', 'kak', 'pesanan', 'kakak', 'saat', 'ini', 'masih', 'menunggu', 'update', 'status', 'dari', 'pihak', 'penjual', 'bisa', 'tunggu', 'dan', 'cek', 'berkala', 'statusnya', 'apabila', 'kakak', 'sudah', 'melakukan', 'pengajuan', 'pembatalan', 'bisa', 'hubungi', 'penjual', 'melalui', 'fitur', 'chat', 'untuk', 'merespon', 'pengajuan', 'pembatalannya', 'tokopedia', 'hanya', 'bisa', 'membantu', 'pembatalan', 'transaksi', 'setelah', 'ada', 'kesepakatan', 'penjual', 'dan', 'pembeli', 'apabila', 'penjual', 'melebihi', 'batas', 'konfirmasi', 'pengirimannya', 'maka', 'transaksi', 'akan', 'teatalkan', 'otomatis']",pesanan kurir instant hai kak pesanan kakak menunggu update status penjual tunggu cek berkala statusnya kakak pengajuan pembatalan hubungi penjual fitur chat merespon pengajuan pembatalannya tokopedia membantu pembatalan transaksi kesepakatan penjual pembeli penjual melebihi batas konfirmasi pengirimannya transaksi teatalkan otomatis,pesan kurir instant hai kak pesan kakak tunggu update status jual tunggu cek kala status kakak aju batal hubung jual fitur chat merespon aju batal tokopedia bantu batal transaksi sepakat jual beli jual lebih batas konfirmasi kirim transaksi teatalkan otomatis
Imam Roviki,"ongkirnya mahal, mending di shop33 gratis",2,1,2025-05-31 09:46:13,ongkirnya mahal mending di shop gratis,ongkirnya mahal mending di shop gratis,"['ongkirnya', 'mahal', 'mending', 'di', 'shop', 'gratis']",ongkirnya mahal mending shop gratis,ongkirnya mahal mending shop gratis
