userName,content,score,thumbsUpCount,at
daying arii,uang refund saya tidak dikembalikan? katanya pembayaran aman? sampai sekarang dana saya tidak dikembalikan.,1,0,2025-05-31 23:36:16
Ganda Mukti,mau verifikasi lanjutan ktp aja susahnya minta ampun. mau gulung tikar apa ini,1,0,2025-05-31 23:03:11
Muhammad Satria Nugraha,"sampah,ga bisa verif data diri. gimana mau co barang asw",1,0,2025-05-31 23:03:07
Jumadi Ajjah,hati-hati belanja di platform ini tidak bisa melindungi customer dari penipuan seller,1,1,2025-05-31 23:01:52
Ekfari Ant,"kenapa mitra di gabungkan dengan aplikasi utama, sedangkan fitur mitra apakah ada di aplikasi toped, seperti print bluetooth, edit harga. tolong jadi perhatian.",3,1,2025-05-31 22:50:54
Bima Saputra,mantap lah,5,0,2025-05-31 21:46:25
Rahma dihan,"Banyak bug baik app maupun desktop, riwayat chat hilang semua, tidak bisa upload gambar untuk review & chat seller, tidak ada cara mengatur notifikasi, promo di-spam berkali2 giliran paket sampai gk ada notif",1,0,2025-05-31 21:28:01
Sanusi ok,mantap,5,0,2025-05-31 21:12:12
yanto totti,mantap sesuai yang diinginkan,4,0,2025-05-31 20:46:54
Ahmad Murtado,ok,5,0,2025-05-31 20:38:06
Asep Herikartono,ter percaya kualitas bagus kata nanyak orang,5,0,2025-05-31 20:26:09
Er winoto,is good,5,0,2025-05-31 19:55:35
Andi Triono (AT),"Semakin jelek pelayanan Penyelesaian masalah sangat lama, dah berulang kali tetep aja",1,3,2025-05-31 19:52:46
Indro Widjojo,"Mahallllll. Pelit ongkir, pelit diskon,",1,0,2025-05-31 19:44:25
Mona Indah Pertiwi,pembohongan affiliate tidak dapat komisi terus beda sama yang sebelah oren selalu dapat,1,0,2025-05-31 19:38:41
Soleh Mulyana,mantap,5,0,2025-05-31 19:34:39
budhie pramons,lanjut terus toped jgn lupa harga disesuaikan dgn kompetitor yg termurah,5,0,2025-05-31 19:31:31
Nurbaity Amin,meski awam aku ingin mencoba moga berhasil ya seperti yg lainnya,3,0,2025-05-31 19:22:55
Riza Andri,Mohon maaf kalau emang mitra sudah di alihkan ke apk ini tolong di kasih cetak setruk sama di mitra. Tak kasih bintang 3 dulu kalau sudah di perbaiki tak kasih bintang 5,3,0,2025-05-31 19:22:20
Andray Setiawan,mantap,5,0,2025-05-31 19:21:38
AMDF,klaim asuransi lama,1,0,2025-05-31 19:17:48
Afanudin Aziz,good,5,0,2025-05-31 18:46:48
izky istin,"proses pengirimanya selalu kacau, sering kelewat satu/dua harii dari jadwal yg suda ditentukan parah,",2,0,2025-05-31 18:37:45
Wahyu Irawan,"sangat membantu memudahkan kita berbelanja,.",5,0,2025-05-31 18:33:45
Wahyu Prasetiyo,mantap,5,0,2025-05-31 18:32:27
Imam Suroso,sayang aku sudah tua kalau bisa sarat dipermudah kadang aku bingong maklom sudah tua,3,0,2025-05-31 18:20:06
Bang Zhaen,menyesal saya belanja di tokopedia pesan udh 2hari baru diproses.sekarang alasan alamat tidak ditemukan😁🤣🤣,1,0,2025-05-31 18:08:29
Sadik,bagus,5,0,2025-05-31 17:51:38
Titin Purwati,Bagus Tokopedia bisa membantu saya untuk menghemat uang.,5,0,2025-05-31 17:45:53
