userName,Review
Ekfari Ant,kenapa mitra di gabung dengan aplikasi utama sedang fitur mitra apakah ada di aplikasi toped seperti print bluetooth edit harga tolong jadi perhati
Bima Saputra,mantap lah
Sanusi ok,mantap
yanto totti,mantap sesuai yang ingin
Ahmad Murtado,oke
Asep Herikartono,ter percaya kualitas bagus kata nanyak orang
Er winoto,good
Soleh Mulyana,mantap
budhie pramons,lanjut terus toped jgn lupa harga sesuai dgn kompetitor yg murah
Nurbaity Amin,meski awam aku ingin coba moga hasil iya seperti yg lain
Riza Andri,mohon maaf kalau emang mitra sudah di alih ke apk ini tolong di kasih cetak setruk sama di mitra tak kasih bintang dulu kalau sudah di peaiki tak kasih bintang
Andray Setiawan,mantap
Afanudin Aziz,good
izky istin,proses pengirimanya selalu kacau sering lewat dari jadwal yg suda tentu buruk
Wahyu Irawan,sangat bantu mudah kita beelanja
Wahyu Prasetiyo,mantap
Imam Suroso,sayang aku sudah tua kalau bisa sarat mudah kadang aku bingong maklom sudah tua
Sadik,bagus
Titin Purwati,bagus tokopedia bisa bantu saya untuk hemat uang
Priomo Munif,jelajah nusantara
Nuril Mubiin Karuniawan,marketplace local langgan mantap
Feri Yazeed,bantu untuk beli produk yg di butuh
Hari Setiawan,aplikasi lot loading lama padahal sinyal udah bagus
ACUS MOTOVLOG,aplikasi belanja online teaik saya sudah guna tokopedia lama beberapa dan selalu puas dengan layan aplikasi mudah guna tampil tarik dan sangat lengkap mulai dari butuh rumah tangga elektronik hingga pulsa dan tagih semua bisa bayar di sini kirim cepat dan customer service-nya juga sangat responsif sangat bantu banget utama saat butuh belanja cepat tanpa harus keluar rumah terima kasih
dwiter badai,mudah pilih bayar nya
Hadi Purnomo,lama banget paket saya sampe nya paket apa paket yang lama
Marihot robinson,oke
Ekah Jaya,good
ridwaan maulana adnan,thanks tokoepdia berapa ini aplikasi tokopedia sangat bantu bangat bagi hidup saya dan keluarga saya karna teantu sekali ada nya gopay latermaju dan jaya terus tokopedia tapi sayang saya tidak pernah di tuju gopay pin
Wira Adhi,mudah cepat
Rosalina Djumali,lancar
Erri Andi,saya apresiasi jika kurir bisa nilai oleh beli karena banyak kurir yang kurang baik dalam antar barang seperti main lempar atau taruh paket luar pagar yg rawan ambil orang asing
arifan ramadhan,sudah bagus tapi satu turut yang kurang sistem lacak barang tidak date jadi kita tidak tau barang benar masih ada mana tau barang sudah sampai tanpa kira ini yang jadi kurang banding sistem lacak barang dari shopee yang akurat dan date
irhan marpid,barang sering sampai luar estimasi kirim terus tidak ada kompensasi kaya shopee
Kevin Sas Hanggara,update tearunya makin banyak error gagal laku bayar batal transaksi dan makin lambat
Suci Utami,bantu banget
Zul Fikri,beres
Mochamad Nahnu,oke
Dina ryanti Gais,ini kenapa yah pada ngelag saya mau tanda tangan buat credit card eh ngk bisaa jaring sudah bagus tetap ngk bisa kenapa sihhh
One_ Vendy74,bintang yg beicara sobat trims
Worvexz,ngubah foto profil saja banyak atur susah bangsad
Bambang Suwignyo,aplikasi belanja on-line yg mudah guna aman dan nyaman
Hadi Prastowo,keren top memang belanja di tokopedia kita bayar cash di gerai indomartalfamart dan kalau stok barang habisuang kita tidak hilangtapi masuk simpan di saldo kita wah luaiasa tokopediamakasih tokopedia iya dan sukses selalu
TEDY AHADIROHMAN,baik
Nurul Fazillah,sangat baik
Patih Gendut BomBom Channel (Boém),mudah buat belanja gak kaya toko belah ribet minta ambyar
Tri Hadi Kurniawan,harap ongkir rp - tanpa minimal belanja dan bisa request kurir tanpa rekomendasi belanja tidak bisa gabung dengan gopay coin jika kartu debit bukan visa layan agar sedikit cepat proses komplain dan kembali dana jika alami masalah fitur diskusi agar aktif kembali agar bisa jadi timbang saat beli supaya cegah tipu terlalu banyak bug dan update
ridwan jaelani,mantap
J Jomo,bagus sekali
Raraducous Ehe,udahh bagussditunggu fitur bayar qris bisa pake gopaylatersoalnya kadang suruh dadak bayar patungan pas makan bareng weh
Ibadika Solihin,ini tokped gimana iya saya kan jual barang tanpa diskon tapi kok diskon dari mana iya mohon di tanggap
Imam Roviki,ongkirnya mahal mending di shop gratis
Tri Budi Santoso,mantap terus tingkat
Hera Hera,toko dia usaha besar dan sudah kenal orang
Kusmiati AW313,tokopedia kenapa toko sudah di blokir terap di deskripsisaya udah order udah transfer gak tau toko bodong gimana cara saya mau cancel kok gak bisa
Vera Kristanti,tolong kontak mitra tokopedia mana tiba di akhir tokopedia care tidak bisa bantu saya
ifa usman,selalu percaya
julham polmed,mantap dan langgan setia nih
Said Umar,kualitas barang yang di jual bagus dan baik sehingga beri puas hadap konsumen moga makin kembang jadi lebih baik depan
Budianto Atan,oke
Andri “momo” Utomo,sangat bantu
Bustanul 0054,mancari produk yang di mau harga ekonomis
Roni Widayat,aplikasi beelanja yg mudah praktis banyak promo
Lapanov Sidharta,mitra tokopedia sudah hapus dulu jual pulsa ppob token pakai mitra tokopedia bisa cetak struk sekarang pakai tokopedia tidak bisa cetak struk tolong tokopedia tambah menu untuk cetak struk seperti pada mitra tokopedia
Prianto bintang Pamungkas (Yanto Jangkung),oke
Tono Rahmat,oke
Mekky Lasut,moga barang barang sesuai dengan ingin beli
Intel Ligen,iya amanah
Hafizh Ibrahim,bagus banget
hery setiawan17,kenapa saya tidak bisa login
Hansye Willyams,bagus
Wahyu Prima,bagus
Di No,tokopedia tidak bisa masuk weshlist
Hamita BWS,dengan ada tokopedia belanja mudah gak ribet
Andika Dika,kasih diskon admin terlalu mahal
rudy setiawan,saya guna aplikasi mitra tokopedia sangat kecewa karena aplikasi sebut sudah tidak bisa guna lagi dan alih ke tokopodia yg mana aplikasi ini tidak bisa edit harga jual aplikasi jadi satu malah gak bisa buat rubah harga bagaimana mau jual pulsa token dan tagih lain
Jani 46,sangat bantu
Andikaagung Adiwijaya26,ribet
Sidrav Volton,terima kasih solusi jual kirim barang rupiah untuk order nila indikasi tipu jelas dan telah sabar dengan proses akhir kembali dana hasil terima kasih tokopedia
Fadly Addiba,mantap
Mardiono Mardionodiono,bagus
Gungun Sopian,sangat bantu
Yono Gestroyer,sampai saat ini muas
Jackjoe,tokopedia mantap banyak bonus
RNA_ 24,keren cepat dan lancar
Titib Suhendar,bagus
Siti Rohmah,hargay mahal iya skrng
Agung Susilo,baru coba coba moga gak ada kendala
Salman Paris,aku daftar affiliate ber x x gagal mulu kata ada ganggu sistem tolong dong di peaiki
Amal. Soepomo,topeng sangat mudah untuk belanja online
mze semas,voucher nya tidak bisa dipake
Ajang Suhendaryana,tambahin bayar pakai qris
Ervi,jangan update terus please
Arif Basuki,bagus
Mas Dikno,tokopedia oke
M. DUL HADI Dul hadi,exselent
Ajid jid,keren
Mojima,update lancar tapi makin lot
martin jamal Lilo,mantap
AFIQA CANTYA AYU ACHA,simple dan bantu
TRISNA KUSUMA WARDANI,tolong aktif lagi mitra tokopedianya karena saya masih butuh bukti struk bayar yang belum saya ambil dan kirim ke langgan kata ke tokopedia care tapi belum beri solusi dari masalah saya terima kasih
Mochamad Dafa AbdulRahman,udah lama sihh pake tokopedia dari barang barang yg beli online baru kali komplain malasah lebih di bagi bukti dokumentasi yg di kasih bukti kalau mau komplain atau kasih rating turut kurang apa lagi kalau butuh video unboxing hanya maks video itu kalau tidak salah cuman di kasih satu doang buat video kalau pake video timestamp justru kurang teliti saja buat video turut saya lebih bagus di tambahin durasi video walaupun ada opsi yg lain
